,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,m27,m28,m29,m30,m31,m32,m33,m34,m35,m36,m37,m38,m39
101,-312.27529940980054,24.811821992331566,4.684810818913392,5.5672461582994295,-0.6901529867205914,-2.0781026627402808,-3.3860700773005106,-5.0584566776938855,-6.632074928696159,-3.4785096753764373,-3.6167379240327366,-6.893215431600235,-4.200807958319874,-2.9358888638120573,-2.285219394160782,-2.2229294699623834,-1.3238115276383937,-1.0112573087719254,-1.2291741094266302,-2.8168738630956116,-3.023164883382021,-0.2248859333472461,-1.9501827144062605,-3.4352536003161642,-2.2756007090047574,-1.7371962763962254,-1.5816082365485562,-0.8623961692514168,-0.6629162787328403,-1.2275236856535678,-1.7386897486843254,-1.8295870849935414,-0.7994624274310845,-0.05607975071014738,1.3433356899766538,0.8899744071820791,0.145812151202728,-0.35490074084430995,0.13708716258869497,0.4372469069580946
762,-445.0088058024976,23.160745192681443,-1.2304278795030226,7.208898168441903,0.27741676785616437,-2.5223910750788203,-6.836161474527824,-8.64169182227278,-3.092461993060302,-0.3689499012760253,-4.056792423931736,-1.7450430483479205,-1.7713455397901068,-2.6988915720664486,-0.5797540537774647,-4.830596267769484,-3.1398771386745823,-1.0537713162071698,-3.2046668150625104,-3.985498062019104,-2.6979760862610243,-3.243344148701725,-3.0469753114181195,-1.8492195191452276,-2.0195983138155365,0.33312081318712305,0.677553023837292,1.7254311781738252,2.248294739735242,1.2362660072210048,1.0175449775038556,1.1244586118090558,2.748841002457045,2.802173555025765,2.8738968099175684,1.2014128313287213,0.21709183224412376,0.9826775870397833,1.4276173771830658,2.87477969655639
90,-290.0503895614767,24.292978350348726,-3.9854759799198884,6.037863949124708,2.177756061448791,-5.498800811911554,-3.5626558196220524,-4.504638289159041,-9.416128941889541,-2.831196714251031,-1.2045934498880322,-5.7728640198698,-1.3120788132206396,-1.688643980097106,-3.7694981376401495,-2.655362527243374,-3.360429565564134,-3.036449233790804,-1.2004394317051281,-2.7307507425696578,-3.3344486247379304,-1.6492916322860176,-3.6444270661241704,-3.928390624296851,-2.215349407925606,-3.0856209833535697,-2.6050584920320983,0.48387813473857294,1.4624185092655289,1.5277949096711438,1.883180343219008,1.4818489757251876,0.10109046248295968,-0.8885628659512903,0.4843692802745879,0.961597452181185,0.15150188285613403,-1.0438475037069428,-0.7940163024748582,0.20802896028205492
705,-349.31003775153204,30.869107336113252,-1.8356173921021033,0.6955749857415191,-4.586153306599312,-3.6647990146623832,-11.022180583284042,-10.280356129111603,-6.503881051883458,-4.891881508582003,-5.13254179961058,-2.528531615980915,-1.5526573325343338,-5.456431995337848,-2.4152669424233593,-3.2391937636346326,-4.82705857982093,-3.2710658453932804,-3.027128290247398,-5.224667958143163,-4.129282117152824,-1.8727860926081585,-3.4435575551671644,-3.8650565943804884,-2.685546124294073,-2.3536445516601265,-2.3417911312942583,0.6771465049720002,0.5515971424849813,0.4597573968087993,1.3757679606533066,1.3702906762279792,3.628831783310343,3.5395683840763708,5.079940978365838,4.230589400946881,4.1954556453186775,3.479817690964617,2.7503815104614047,2.193034262064975
686,-436.3749090783108,22.777550491625618,4.084405360141764,5.917780457090717,-1.0953567824258443,-1.4163745148120093,-6.89567297789431,-8.008205325589634,-4.807035610538565,-2.826642762575435,-4.31263422576993,-5.5126970900232815,-2.491985888667052,-2.299804834605438,-0.8523620635452938,-1.5228708699118576,-2.90830428438302,-1.8504670941237096,-0.7382436676814056,-4.072710959128075,-2.987049097818884,-2.742843496557334,-4.357477732155646,-2.7243997731508807,-3.5819140318423495,-2.034517407422749,-2.3871113971945683,-2.272658168466327,-1.5106960361444859,-1.454281691255763,-0.00206328041109676,0.47557294539401085,1.6057209332598994,2.3604548289472316,3.955745235999451,4.164620016068889,4.108614980879538,4.576055378772564,3.4158845822683626,3.2257136307588268
757,-302.1269317189259,22.75785997295494,-22.303753945758796,-3.6192582016105463,-8.858803355390908,-6.774274092275945,-6.583218489220094,-8.709696612134703,-9.535960662670243,-1.3433499456880014,-2.4791163346154255,-0.7488913538431324,6.654135094484298,10.719344876351828,14.315992310613987,3.959659487531188,3.2031096092654656,2.808303343169727,0.3452784834626648,1.5709710556367367,0.8379972919284612,-1.1896016933420779,-2.577173129114599,-0.06390247667834056,-1.6793409706395157,0.9125839019150537,2.796533736955626,1.374918514900196,0.44334809310688295,3.019144846261823,5.578085216745031,2.035420690852983,0.19898574386662374,0.06431229881466276,2.1952379542433342,1.4701891018927102,1.8502463846012387,2.8056665213343672,1.617219748991107,0.9148561146938029
452,-185.61186368060675,21.889472598838253,-24.20452936130413,-2.9400038107129842,-11.073787931884267,-8.695175559273594,-7.13350592566012,0.017077929417851048,-7.48578649848567,-1.8921580164965786,2.8989378446228113,-7.614425953608508,0.14092313422028685,-3.2757242956570036,-6.737251945932732,-2.825829276077946,-2.217156205181725,-1.2700446065519575,5.623123988460007,6.7068139696264435,2.529154570903718,6.62783960441365,5.025528552264506,-1.58150042589872,-0.2660758687398489,1.0323160285263113,-1.7810215423959714,1.8126057280413488,0.8486376976478571,-0.5441207180100249,1.0117465917931643,-1.374445150001783,-1.3902147510698908,-0.03071299603513079,0.012642164071963941,-0.5582403042512927,0.5134137642323122,-0.03687525964873288,0.8066615007481585,1.4998481750789872
217,-458.9628196960329,32.29059740285901,-5.71676093970067,4.134458740760076,-11.399758670684747,-10.63239487291995,-13.085929780807165,-5.6538895811418355,-6.154770557990841,-7.0510934686064175,-4.573029595086876,-6.619481642174191,-5.77258091024078,-3.3836606317174738,-2.3792067557239585,-3.6949514785436173,1.8431495959368316,0.9853936371320163,0.5262586063015586,-0.652798440003746,-1.6064685489846546,-3.1717447586658527,-1.7581334492456462,0.20227569727621458,-1.8021093264688817,1.618233779987202,-0.06656027066795488,0.9625759672061482,2.108175155176171,-0.09599021755391636,0.2797911849449844,-1.3705954021025708,-0.2850365201508082,-0.05963456167798381,1.1490368119880279,1.0239102981438262,-0.23662038721541667,-0.8747163491331287,-0.5472255449023705,0.47285344661545126
1034,-364.57073255594656,14.981345631357328,-8.259439323854396,-2.5907756976623872,-4.328938738203971,-6.387429467199525,-7.94969162849844,-6.8961666675906095,-4.139774965721052,-3.18048480827261,-4.13761937987206,-2.350633582279346,-2.9507878568571244,-3.130396819099196,1.0940687325325948,0.6711008886310978,2.329470382917353,4.8286610963446925,4.010371864750475,4.575034025238887,2.9272352589613244,-0.6073621812445256,-1.1918808115916544,-1.5329293945313567,-1.6798819825983726,-0.391293018281593,-0.8002419863991479,-0.8363244267914256,-1.2129270876444667,0.3746155518643711,1.8760937045082535,0.9494983928670417,1.3999182168146451,0.764389364185865,0.6004799578895399,0.7563711297526952,-0.35214122562418376,0.32799170031903413,1.3944057026217558,0.30774690290410067
941,-595.3218484505854,30.292270296120204,8.115229559201412,15.486301060641171,-0.2226809681075758,0.15745989589170664,-3.042298428186525,-0.21825651705889482,-1.3035042822378031,0.6212603960310785,2.935486337792143,0.6249949188844806,0.27654333052413915,-0.3390027139641884,2.0328279316653255,-1.020838285842563,-0.350780357368113,-0.08339407172987419,-0.36400413445008123,-0.6653210195093758,-0.5501798576285803,-1.1181518099631884,-2.4578095310696373,-0.711878410182682,-0.03498721051513075,0.6316947590762547,-1.088320231988127,0.2591766564970744,0.10428400690659957,-0.7659268381017863,0.8582472750543063,-0.0032295854514310406,0.5968301056117963,0.9309441962158868,0.90092528269537,-0.46812886791400504,-0.3826428285215398,-1.7032541602975744,-1.4475295919373206,0.6348728619260319
