,zcr_mean,zcr_std,zcr_max,rmse
101,0.3488674411525974,0.17870998648023964,0.533203125,0.022088793326465808
762,0.32210791925465837,0.19037143013103558,0.521484375,0.006730964904328581
90,0.3443014705882353,0.17715128103279193,0.52880859375,0.029066224227534666
705,0.3144696769067797,0.19437910696989452,0.55810546875,0.022316447742443908
686,0.3326009114583333,0.18480937601963207,0.52490234375,0.006996725259122239
757,0.271893310546875,0.17925527989802767,0.52880859375,0.07106116109389414
452,0.32361035678475936,0.16840997016875167,0.5263671875,0.1401731173265455
217,0.3339450503355705,0.1928745534330795,0.51953125,0.015582114993948203
1034,0.355451677229021,0.17274968821637868,0.5361328125,0.012208674148278111
941,0.33666339405080214,0.15092956429434495,0.51904296875,0.00181628373887272
425,0.30149004536290325,0.19376287210662874,0.525390625,0.003561496349543101
1263,0.2607478651889535,0.19565143355577858,0.54833984375,0.011854331767345164
709,0.2921907194368132,0.19610902086085563,0.51806640625,0.010441191574456336
673,0.3256328632305195,0.17949963656908463,0.52392578125,0.012650637110490798
1,0.3342891979768786,0.1943848721417052,0.52880859375,0.005869213992952893
1109,0.20042180440512047,0.18869956679312402,0.50927734375,0.006645653688072159
642,0.306357421875,0.18740501770052015,0.50537109375,0.005191811195120722
905,0.2853581092877095,0.1750523459525415,0.50634765625,0.0016941241464335285
844,0.3367279052734375,0.17343864845956708,0.517578125,0.01701745110918184
368,0.3133182735233517,0.18179661802950295,0.60009765625,0.009987936196462424
969,0.31224000608766234,0.1748207363907499,0.52978515625,0.0024055257282072054
70,0.2997621048328488,0.18704295711249094,0.51708984375,0.006672167697335596
1035,0.3167469113372093,0.18086226731436822,0.54931640625,0.005782819266730341
56,0.3377668824914384,0.19075759990569918,0.54052734375,0.028106597186437238
866,0.35397626768867924,0.18559699137111363,0.576171875,0.007590790491577687
222,0.32572451117318435,0.20501869436289058,0.623046875,0.014783252265163221
1111,0.2977622038398693,0.1977247399060733,0.53125,0.002603647366785188
555,0.2767062717013889,0.2018687393326672,0.521484375,0.011033183343965833
325,0.3307109811452514,0.17264656604342696,0.5283203125,0.0275979570571979
1339,0.3360879766116352,0.16996982051919135,0.5185546875,0.03252519076858068
435,0.29691354851973684,0.18135523092018427,0.5322265625,0.020085714943338023
1276,0.21669585129310345,0.15996615543002776,0.50439453125,0.007168566127069134
93,0.347930908203125,0.17165346020254701,0.5283203125,0.006406758771625239
329,0.3169162326388889,0.17904329282514858,0.51708984375,0.011424887506765352
768,0.2859509526466837,0.18744965549260278,0.5126953125,0.018076320007275427
1150,0.2816995760289634,0.18885876878636418,0.5205078125,0.0022543780853351352
1172,0.25185834099264703,0.17259748490553412,0.50732421875,0.001588405323520576
882,0.3358877388535032,0.18629778975329728,0.525390625,0.003547380342166178
314,0.2819667718349359,0.2143403986923822,0.52685546875,0.003298648211351009
1267,0.28798886954066266,0.19549257526533778,0.51318359375,0.004381468555583717
1035,0.2847077125726744,0.1784504770855824,0.556640625,0.00576630047484115
114,0.342568359375,0.1905664845691554,0.529296875,0.02238457364488649
714,0.30103562406437123,0.20402966281534773,0.5341796875,0.020870689962281478
163,0.3289678294187898,0.18618880960968417,0.51416015625,0.0013038589767038573
618,0.30437155330882354,0.19043176000890666,0.525390625,0.07821754121570844
456,0.33837890625,0.14393638541300266,0.51953125,0.10464881842708885
1355,0.3286972531847134,0.1815108767859168,0.51611328125,0.005262816886525432
1044,0.2875590351341808,0.15646526311475217,0.51123046875,0.0019584756132990638
1335,0.31223060344827586,0.19562181217843988,0.5302734375,0.005272199386772481
424,0.2579799107142857,0.17892467355303157,0.52001953125,0.0035086735576552986
282,0.3346160888671875,0.1837178528885546,0.54541015625,0.02386721643876349
156,0.29079683230874315,0.1796590148752948,0.5244140625,0.024452669672518707
1060,0.29019621048850575,0.16159532699258047,0.5244140625,0.007484039135058277
325,0.29577295740223464,0.18197796913233982,0.52001953125,0.027365530009145732
167,0.3383965549698795,0.19918087440637908,0.59423828125,0.0031443599732133044
1027,0.3253067323825503,0.19494363961237485,0.52197265625,0.003484306253510671
44,0.36114422686688313,0.16959424413607047,0.53125,0.006507654417056067
1117,0.29701822916666665,0.19501752258431143,0.51611328125,0.005646026550393746
967,0.3007281037414966,0.17548739094118013,0.5107421875,0.0025944547212955094
609,0.29112254790145986,0.17711548201578436,0.51611328125,0.0035642530379499573
586,0.3197235107421875,0.1859271607359332,0.51953125,0.014523874602127446
